"triangles","roles","presentation_position","stimid","hm_rotations","decoydist","area1","area2","area3","NorthSouth1","NorthSouth2","NorthSouth3","EastWest1","EastWest2","EastWest3","orientation1","orientation2","orientation3","templatetype1","templatetype2","templatetype3","presentation1","presentation2","presentation3","ppntID","positionchosen","rolechosen","drawtime","responsetime","presentationsequence"
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":95,""height"":52.631578947368396,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":95,""y1"":0,""y2"":52.631578947368396,""y3"":0,""x2"":47.5}]","[""targ"",""comp"",""decoy""]","[0,1,2]","compromise-0.05shapes001",0,"-0.05",2499.999999999999,2499.999999999999,2499.9999999999986,50,100,52.631578947368396,100,50,95,0,1,0,"skew","skew","equilateral",0,1,2,"1042768","1","comp",1529956982278,1529956983661,11
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":85,""height"":58.823529411764696,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":85,""y1"":0,""y2"":58.823529411764696,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[1,2,0]","compromise-0.15shapes001",0,"-0.15",2499.999999999999,2499.999999999999,2499.9999999999995,50,100,58.823529411764696,100,50,85,0,1,0,"skew","skew","rightangle",1,2,0,"1042768","2","targ",1529956983661,1529956985021,12
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":92.19544457292889,""height"":46.097722286464396,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":92.19544457292889,""y1"":0,""y2"":46.097722286464396,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[0,1,2]","attraction0.85shapes010",0,"0.85",2500.000000000002,2500,2124.999999999998,50,100,46.097722286464396,100,50,92.19544457292889,0,1,0,"rightangle","equilateral","rightangle",0,1,2,"1042768","0","targ",1529956985021,1529956988581,13
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":104.880884817015,""height"":52.44044240850761,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":104.880884817015,""y1"":0,""y2"":52.44044240850761,""y3"":0,""x2"":52.4404424085075}]","[""targ"",""comp"",""decoy""]","[2,1,0]","winner1.1shapes100",0,"1.1",2500.000000000002,2500,2749.999999999996,50,100,52.44044240850761,100,50,104.880884817015,0,1,0,"rightangle","equilateral","equilateral",2,1,0,"1042768","1","comp",1529956988581,1529956990901,14
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":97.4679434480896,""height"":48.7339717240448,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":97.4679434480896,""y1"":0,""y2"":48.7339717240448,""y3"":0,""x2"":24.3669858620224}]","[""targ"",""comp"",""decoy""]","[0,2,1]","attraction0.95shapes012",0,"0.95",2500.000000000002,2500,2374.9999999999977,50,100,48.7339717240448,100,50,97.4679434480896,0,1,0,"rightangle","equilateral","skew",0,2,1,"1042768","2","comp",1529956990901,1529956993055,15
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":94.8683298050514,""height"":47.4341649025257,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":94.8683298050514,""y1"":0,""y2"":47.4341649025257,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[2,1,0]","attraction0.9shapes010",0,"0.9",2500.000000000002,2500,2250.0000000000014,50,100,47.4341649025257,100,50,94.8683298050514,0,1,0,"rightangle","equilateral","rightangle",2,1,0,"1042768","2","targ",1529956993055,1529956994646,16
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":107.23805294763599,""height"":53.619026473817996,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":107.23805294763599,""y1"":0,""y2"":53.619026473817996,""y3"":0,""x2"":26.809513236908998}]","[""targ"",""comp"",""decoy""]","[0,1,2]","winner1.15shapes100",0,"1.15",2500,2499.999999999999,2874.999999999995,50,100,53.619026473817996,100,50,107.23805294763599,0,1,0,"equilateral","skew","skew",0,1,2,"1042768","2","decoy",1529956994646,1529956997479,17
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":104.880884817015,""height"":52.44044240850761,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":104.880884817015,""y1"":0,""y2"":52.44044240850761,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[0,1,2]","winner1.1shapes010",0,"1.1",2500.000000000002,2499.999999999999,2749.9999999999986,50,100,52.44044240850761,100,50,104.880884817015,0,1,0,"rightangle","skew","rightangle",0,1,2,"1042768","2","decoy",1529956997479,1529956999239,18
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":85,""height"":58.823529411764696,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":85,""y1"":0,""y2"":58.823529411764696,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[2,1,0]","compromise-0.15shapes000",0,"-0.15",2500.000000000002,2500.000000000002,2499.9999999999995,50,100,58.823529411764696,100,50,85,0,1,0,"rightangle","rightangle","rightangle",2,1,0,"1042768","0","decoy",1529956999239,1529957001399,19
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":97.5,""height"":51.2820512820513,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":97.5,""y1"":0,""y2"":51.2820512820513,""y3"":0,""x2"":24.375}]","[""targ"",""comp"",""decoy""]","[2,1,0]","compromise-0.025shapes001",0,"-0.025",2500.000000000002,2500.000000000002,2500.0000000000014,50,100,51.2820512820513,100,50,97.5,0,1,0,"rightangle","rightangle","skew",2,1,0,"1042768","1","comp",1529957001399,1529957003336,20
