"triangles","roles","presentation_position","stimid","hm_rotations","decoydist","timelimit","area1","area2","area3","NorthSouth1","NorthSouth2","NorthSouth3","EastWest1","EastWest2","EastWest3","orientation1","orientation2","orientation3","templatetype1","templatetype2","templatetype3","presentation1","presentation2","presentation3","ppntID","positionchosen","rolechosen","drawtime","responsetime","presentationsequence"
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":2,""x1"":0,""x3"":-100,""y1"":0,""y2"":-50,""y3"":0,""x2"":-25},{""base"":97.5,""height"":51.2820512820513,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":24.375,""y3"":97.5,""x2"":-51.2820512820513}]","[""targ"",""comp"",""decoy""]","[0,1,2]","compromise-0.025shapes100",1,"-0.025",2000,2500.000000000002,2499.999999999999,2500.0000000000014,100,50,97.5,50,100,51.2820512820513,1,2,1,"rightangle","skew","skew",0,1,2,"5489673","1","comp",1538071364630,1538071365942,14
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":85,""height"":58.823529411764696,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":85,""y1"":0,""y2"":58.823529411764696,""y3"":0,""x2"":21.25}]","[""targ"",""comp"",""decoy""]","[0,2,1]","compromise-0.15shapes000",0,"-0.15",2000,2499.999999999999,2499.999999999999,2500,50,100,58.823529411764696,100,50,85,0,1,0,"skew","skew","skew",0,2,1,"5489673","2","comp",1538071365942,1538071367309,15
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":-100,""x2"":50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":89.44271909999159,""height"":44.721359549995796,""templatetype"":""skew"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-22.360679774997898,""y3"":-89.44271909999159,""x2"":44.721359549995796}]","[""targ"",""comp"",""decoy""]","[1,2,0]","attraction0.8shapes012",3,"0.8",2000,2500.000000000002,2500,2000.000000000001,100,50,89.44271909999159,50,100,44.721359549995796,3,0,3,"rightangle","equilateral","skew",1,2,0,"5489673","0","comp",1538071367309,1538071369295,16
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":2,""x1"":0,""x3"":-100,""y1"":0,""y2"":-50,""y3"":0,""x2"":-50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":-100,""x2"":50},{""base"":95,""height"":52.631578947368396,""templatetype"":""skew"",""orientation"":2,""x1"":0,""x3"":-95,""y1"":0,""y2"":-52.631578947368396,""y3"":0,""x2"":-23.75}]","[""targ"",""comp"",""decoy""]","[2,0,1]","compromise-0.05shapes012",2,"-0.05",2000,2500,2500.000000000002,2499.9999999999995,50,100,52.631578947368396,100,50,95,2,3,2,"equilateral","rightangle","skew",2,0,1,"5489673","1","targ",1538071369295,1538071370607,17
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-25,""y3"":-100,""x2"":50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":97.5,""height"":51.2820512820513,""templatetype"":""skew"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-24.375,""y3"":-97.5,""x2"":51.2820512820513}]","[""targ"",""comp"",""decoy""]","[0,1,2]","compromise-0.025shapes010",3,"-0.025",2000,2499.999999999999,2500,2500.0000000000014,100,50,97.5,50,100,51.2820512820513,3,0,3,"skew","equilateral","skew",0,1,2,"5489673","2","decoy",1538071370607,1538071372255,18
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":114.01754250991401,""height"":57.008771254956905,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":114.01754250991401,""y1"":0,""y2"":57.008771254956905,""y3"":0,""x2"":57.008771254957004}]","[""targ"",""comp"",""decoy""]","[1,2,0]","winner1.3shapes010",0,"1.3",2000,2500,2499.999999999999,3250.000000000006,50,100,57.008771254956905,100,50,114.01754250991401,0,1,0,"equilateral","skew","equilateral",1,2,0,"5489673","1","decoy",1538071372255,1538071373312,19
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":2,""x1"":0,""x3"":-100,""y1"":0,""y2"":-50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-25,""y3"":-100,""x2"":50},{""base"":89.44271909999159,""height"":44.721359549995796,""templatetype"":""rightangle"",""orientation"":2,""x1"":0,""x3"":-89.44271909999159,""y1"":0,""y2"":-44.721359549995796,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[1,0,2]","attraction0.8shapes010",2,"0.8",2000,2500.000000000002,2499.999999999999,2000.0000000000002,50,100,44.721359549995796,100,50,89.44271909999159,2,3,2,"rightangle","skew","rightangle",1,0,2,"5489673","2","decoy",1538071373312,1538071374472,20
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":-100,""x2"":50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":114.01754250991401,""height"":57.008771254956905,""templatetype"":""equilateral"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-57.008771254957004,""y3"":-114.01754250991401,""x2"":57.008771254956905}]","[""targ"",""comp"",""decoy""]","[2,0,1]","winner1.3shapes001",3,"1.3",2000,2500.000000000002,2500.000000000002,3250.000000000006,100,50,114.01754250991401,50,100,57.008771254956905,3,0,3,"rightangle","rightangle","equilateral",2,0,1,"5489673","2","comp",1538071374472,1538071375496,21
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":83.6660026534076,""height"":41.8330013267038,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":83.6660026534076,""y1"":0,""y2"":41.8330013267038,""y3"":0,""x2"":20.9165006633519}]","[""targ"",""comp"",""decoy""]","[1,0,2]","attraction0.7shapes000",0,"0.7",2000,2499.999999999999,2499.999999999999,1750.0000000000032,50,100,41.8330013267038,100,50,83.6660026534076,0,1,0,"skew","skew","skew",1,0,2,"5489673","2","decoy",1538071375496,1538071376544,22
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":2,""x1"":0,""x3"":-100,""y1"":0,""y2"":-50,""y3"":0,""x2"":-50},{""base"":104.880884817015,""height"":52.44044240850761,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":26.22022120425375,""y3"":104.880884817015,""x2"":-52.44044240850761}]","[""targ"",""comp"",""decoy""]","[0,2,1]","winner1.1shapes012",1,"1.1",2000,2500.000000000002,2500,2749.999999999998,100,50,104.880884817015,50,100,52.44044240850761,1,2,1,"rightangle","equilateral","skew",0,2,1,"5489673","1","decoy",1538071376544,1538071378096,23
