"EW1","EW2","NS1","NS2","area1","area2","presentationposition1","presentationposition2","templatetype1","templatetype2","responsekey","responsemeans","drawtime","responsetime","inspectiontime","ppntid","stimid"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043662258,975,"4291150","pairrightanglevsskew_4"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043664793,3510,"4291150","pairrightanglevsskew_4"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043665296,4013,"4291150","pairrightanglevsskew_4"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043665583,4300,"4291150","pairrightanglevsskew_4"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043665784,4501,"4291150","pairrightanglevsskew_4"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043665958,4675,"4291150","pairrightanglevsskew_4"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043666130,4847,"4291150","pairrightanglevsskew_4"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043666271,4988,"4291150","pairrightanglevsskew_4"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043666423,5140,"4291150","pairrightanglevsskew_4"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043666570,5287,"4291150","pairrightanglevsskew_4"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043666736,5453,"4291150","pairrightanglevsskew_4"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043666889,5606,"4291150","pairrightanglevsskew_4"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043667041,5758,"4291150","pairrightanglevsskew_4"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043667209,5926,"4291150","pairrightanglevsskew_4"
118.55481158437091,91.5925940716919,83.5649077155984,116.69701561506547,4953.5109446440565,5344.29119030429,1,0,"rightangle","skew","a","match",1535043661283,1535043667339,6056,"4291150","pairrightanglevsskew_4"
